Row,Primary Type,Arrest,District,Year,Latitude,Longitude,min_distance2police,Values,date_column
1161198,BATTERY,False,19.0,2011,41.925888666999995,-87.640675614,0.008261160590268015,1,2011-12-18 05:30:00
1161199,THEFT,False,24.0,2011,42.001382198,-87.664352579,0.020225926175620332,1,2011-12-22 09:00:00
1161377,THEFT,False,16.0,2011,41.976290414,-87.905227221,0.0049877733678662575,1,2011-11-14 00:01:00
1161456,ASSAULT,False,12.0,2011,41.877446026,-87.657010335,0.02589999571242299,1,2011-08-13 03:00:00
2328110,ASSAULT,False,1.0,2011,41.883376682,-87.627874384,0.027076472966634565,1,2011-01-01 01:30:00
2328252,CRIMINAL DAMAGE,False,8.0,2011,41.78205887,-87.702007889,0.04790762348545996,1,2011-01-01 00:30:00
2328253,CRIMINAL DAMAGE,False,8.0,2011,41.800232891,-87.70375131700001,0.03553821161447314,1,2011-01-01 00:25:00
2328254,BATTERY,True,19.0,2011,41.943094852,-87.649362556,0.019126483614771372,1,2011-01-01 00:20:00
2328256,CRIMINAL DAMAGE,False,8.0,2011,41.767521154,-87.689434248,0.020809100276689075,1,2011-01-01 00:23:00
2328265,BATTERY,True,19.0,2011,41.939515748000005,-87.649253785,0.010319905964388226,1,2011-01-01 00:25:00
2328271,CRIMINAL TRESPASS,True,19.0,2011,41.948190326,-87.654358906,0.028874262565486607,1,2011-01-01 01:05:00
2328272,THEFT,True,16.0,2011,41.954871668,-87.77715641399999,0.005891961412669401,1,2011-01-01 00:05:00
2328283,BATTERY,True,18.0,2011,41.909800222,-87.651841553,0.021457170747142824,1,2011-01-01 00:15:00
2328284,MOTOR VEHICLE THEFT,False,3.0,2011,41.783311684000005,-87.609645926,0.020466487166016033,1,2011-01-01 00:47:00
2328285,NARCOTICS,True,9.0,2011,41.798889417,-87.66227825799999,0.02391968740118993,1,2011-01-01 00:45:00
2328286,THEFT,False,18.0,2011,41.903927445,-87.629529005,0.015542021905481184,1,2011-01-01 00:30:00
2328287,NARCOTICS,True,12.0,2011,41.897592188000004,-87.685205507,0.0290241409885535,1,2011-01-01 00:30:00
2328290,WEAPONS VIOLATION,False,4.0,2011,41.752884365,-87.55405897,0.048091161934975014,1,2011-01-01 00:04:00
2328291,BATTERY,True,19.0,2011,41.942720126,-87.65419273,0.034609671271731215,1,2011-01-01 00:35:00
2328293,WEAPONS VIOLATION,True,25.0,2011,41.911478112,-87.78018215799999,0.011318220184182028,1,2011-01-01 00:15:00
2328294,WEAPONS VIOLATION,True,15.0,2011,41.893132123,-87.74900377200001,0.050756447221402434,1,2011-01-01 00:01:00
2328295,BATTERY,True,18.0,2011,41.900017769,-87.623426629,0.021086450795154053,1,2011-01-01 00:45:00
