crime,arrest,date,latitude,longitude,domestic,district,FBI_code,year,month,hour,day,dayofweek,weekofyear,quarter
RETAIL THEFT,False,2018-12-05 07:24:00,41.722578383000005,-87.66270654799999,False,22.0,6,2018,12,7,5,2,49,4
OVER $500,False,2018-12-05 01:00:00,42.008591933000005,-87.693363276,False,24.0,6,2018,12,1,5,2,49,4
RETAIL THEFT,False,2018-12-05 04:20:00,41.866472663,-87.639221031,False,1.0,6,2018,12,4,5,2,49,4
RETAIL THEFT,False,2018-12-05 02:30:00,41.832329279,-87.61698314600002,False,2.0,6,2018,12,2,5,2,49,4
OVER $500,False,2018-12-05 00:40:00,41.907665428,-87.757658692,False,25.0,6,2018,12,0,5,2,49,4
OVER $500,False,2018-12-03 02:00:00,41.957755519,-87.72773686,False,17.0,6,2018,12,2,3,0,49,4
OVER $500,False,2018-12-03 13:59:00,41.909884927,-87.77645965200001,False,25.0,6,2018,12,13,3,0,49,4
OVER $500,False,2018-12-02 17:00:00,41.907104235,-87.627572802,False,18.0,6,2018,12,17,2,6,48,4
OVER $500,False,2018-11-19 12:00:00,41.725402719,-87.57786531,False,4.0,6,2018,11,12,19,0,47,4
RETAIL THEFT,False,2018-11-16 10:00:00,41.953641614,-87.728194906,False,17.0,6,2018,11,10,16,4,46,4
OVER $500,False,2018-11-29 14:19:00,41.928616438,-87.740169036,False,25.0,6,2018,11,14,29,3,48,4
OVER $500,False,2018-11-28 00:01:00,41.902008941,-87.695233161,False,12.0,6,2018,11,0,28,2,48,4
OVER $500,False,2018-11-19 14:00:00,41.760430078,-87.68313492,False,8.0,6,2018,11,14,19,0,47,4
OVER $500,False,2018-12-05 15:00:00,41.786645933,-87.62549278,False,2.0,6,2018,12,15,5,2,49,4
OVER $500,False,2018-12-05 14:00:00,41.666024801,-87.640313261,False,5.0,6,2018,12,14,5,2,49,4
OVER $500,False,2018-12-05 00:00:00,41.892295094,-87.74416331200001,False,11.0,6,2018,12,0,5,2,49,4
RETAIL THEFT,False,2018-12-05 19:30:00,41.892096977,-87.62416442600002,False,18.0,6,2018,12,19,5,2,49,4
OVER $500,False,2018-12-05 22:38:00,41.736905938,-87.58611720799999,False,4.0,6,2018,12,22,5,2,49,4
OVER $500,False,2018-12-05 18:00:00,41.947391147,-87.68706129,False,19.0,6,2018,12,18,5,2,49,4
OVER $500,False,2018-12-05 14:30:00,41.880094315,-87.64731012799999,False,12.0,6,2018,12,14,5,2,49,4
OVER $500,False,2018-12-05 23:30:00,41.976483052,-87.835288315,False,16.0,6,2018,12,23,5,2,49,4
RETAIL THEFT,False,2018-12-05 12:19:00,42.019399236999995,-87.675049485,False,24.0,6,2018,12,12,5,2,49,4
OVER $500,False,2018-12-05 20:30:00,41.856415299,-87.695598494,False,10.0,6,2018,12,20,5,2,49,4
OVER $500,False,2018-12-05 17:00:00,41.942186378,-87.649339185,False,19.0,6,2018,12,17,5,2,49,4
OVER $500,False,2018-12-05 13:30:00,41.895217966,-87.640022769,False,18.0,6,2018,12,13,5,2,49,4
RETAIL THEFT,False,2018-12-05 21:50:00,41.766114415,-87.57203980799999,False,3.0,6,2018,12,21,5,2,49,4
OVER $500,False,2018-12-05 21:48:00,41.716119076999995,-87.63474642700001,True,22.0,6,2018,12,21,5,2,49,4
OVER $500,False,2018-12-05 09:30:00,41.92372979,-87.78218924,False,25.0,6,2018,12,9,5,2,49,4
OVER $500,False,2018-12-05 21:45:00,41.95347181,-87.743552438,False,17.0,6,2018,12,21,5,2,49,4
OVER $500,False,2018-12-05 22:05:00,41.927147235999996,-87.64141533,False,19.0,6,2018,12,22,5,2,49,4
RETAIL THEFT,True,2018-12-05 20:40:00,41.695908161,-87.595822806,False,5.0,6,2018,12,20,5,2,49,4
RETAIL THEFT,False,2018-12-03 18:00:00,41.882394061999996,-87.627844798,False,1.0,6,2018,12,18,3,0,49,4
OVER $500,False,2018-12-03 01:30:00,41.758172871,-87.62845198,False,6.0,6,2018,12,1,3,0,49,4
OVER $500,False,2018-11-27 19:00:00,41.972633112,-87.776211277,False,16.0,6,2018,11,19,27,1,48,4
OVER $500,False,2018-11-29 21:30:00,41.908430535,-87.638509526,False,18.0,6,2018,11,21,29,3,48,4
RETAIL THEFT,False,2018-12-03 08:30:00,41.735931109,-87.65364248200001,False,6.0,6,2018,12,8,3,0,49,4
OVER $500,False,2018-11-15 00:00:00,41.776382485999996,-87.68845474,False,8.0,6,2018,11,0,15,3,46,4
RETAIL THEFT,False,2018-11-29 21:30:00,41.883500186999996,-87.627876698,False,1.0,6,2018,11,21,29,3,48,4
OVER $500,False,2018-11-29 17:00:00,41.918299056,-87.640371896,False,18.0,6,2018,11,17,29,3,48,4
OVER $500,False,2018-12-01 15:00:00,41.768832763,-87.573924845,True,3.0,6,2018,12,15,1,5,48,4
OVER $500,False,2018-11-14 18:46:00,41.8744151,-87.627609439,False,1.0,6,2018,11,18,14,2,46,4
OVER $500,False,2018-11-08 20:00:00,41.750038093,-87.642803858,True,6.0,6,2018,11,20,8,3,45,4
RETAIL THEFT,True,2018-11-05 19:25:00,41.797218365,-87.66466846899998,False,9.0,6,2018,11,19,5,0,45,4
OVER $500,False,2018-09-24 12:00:00,41.87788328,-87.65113425700001,False,12.0,6,2018,9,12,24,0,39,3
OVER $500,True,2018-08-10 11:00:00,41.943342441999995,-87.64304503,False,19.0,6,2018,8,11,10,4,32,3
RETAIL THEFT,False,2018-09-01 11:50:00,41.909804314,-87.651606387,False,18.0,6,2018,9,11,1,5,35,3
OVER $500,False,2018-12-05 08:30:00,41.88681815,-87.630590877,False,1.0,6,2018,12,8,5,2,49,4
